Algorithm A,Algorithm B,Metric,Mean A,Mean B,Ratio (A/B)
retrain,sisa,accuracy_after,0.6411,0.5311,1.2073
retrain,sisa,accuracy_before,0.6513,0.5470,1.1907
retrain,sisa,f1_after,0.6350,0.5054,1.2564
retrain,sisa,f1_before,0.6464,0.5247,1.2320
retrain,sisa,forget_accuracy,0.6388,0.5222,1.2233
retrain,sisa,knowledge_retention,0.9855,0.9720,1.0139
retrain,sisa,memorization_score,-0.6301,-0.1964,3.2074
retrain,sisa,mia_success_after,0.5742,0.6115,0.9389
retrain,sisa,mia_success_before,0.5837,0.6226,0.9375
retrain,sisa,precision_after,0.6504,0.5673,1.1466
retrain,sisa,precision_before,0.6578,0.5799,1.1344
retrain,sisa,privacy_leakage,0.2650,0.3431,0.7723
retrain,sisa,recall_after,0.6402,0.5272,1.2143
retrain,sisa,recall_before,0.6506,0.5433,1.1975
retrain,sisa,trust_score,0.6500,0.5610,1.1585
retrain,sisa,utility_loss,0.0102,0.0159,0.6402
retrain,scrub,accuracy_after,0.6411,0.6320,1.0144
retrain,scrub,accuracy_before,0.6513,0.6513,1.0000
retrain,scrub,f1_after,0.6350,0.6245,1.0168
retrain,scrub,f1_before,0.6464,0.6464,1.0000
retrain,scrub,forget_accuracy,0.6388,0.8185,0.7805
retrain,scrub,knowledge_retention,0.9855,0.9474,1.0402
retrain,scrub,memorization_score,-0.6301,-0.6301,1.0000
retrain,scrub,mia_success_after,0.5742,0.5000,1.1483
retrain,scrub,mia_success_before,0.5837,0.5837,1.0000
retrain,scrub,precision_after,0.6504,0.6567,0.9905
retrain,scrub,precision_before,0.6578,0.6578,1.0000
retrain,scrub,privacy_leakage,0.2650,0.3302,0.8024
retrain,scrub,recall_after,0.6402,0.6323,1.0124
retrain,scrub,recall_before,0.6506,0.6506,1.0000
retrain,scrub,trust_score,0.6500,0.5370,1.2104
retrain,scrub,utility_loss,0.0102,0.0193,0.5285
retrain,influence_functions,accuracy_after,0.6411,0.6424,0.9981
retrain,influence_functions,accuracy_before,0.6513,0.6513,1.0000
retrain,influence_functions,f1_after,0.6350,0.6363,0.9979
retrain,influence_functions,f1_before,0.6464,0.6464,1.0000
retrain,influence_functions,forget_accuracy,0.6388,0.6330,1.0091
retrain,influence_functions,knowledge_retention,0.9855,0.9902,0.9953
retrain,influence_functions,memorization_score,-0.6301,-0.6301,1.0000
retrain,influence_functions,mia_success_after,0.5742,0.5817,0.9870
retrain,influence_functions,mia_success_before,0.5837,0.5837,1.0000
retrain,influence_functions,precision_after,0.6504,0.6514,0.9985
retrain,influence_functions,precision_before,0.6578,0.6578,1.0000
retrain,influence_functions,privacy_leakage,0.2650,0.2582,1.0264
retrain,influence_functions,recall_after,0.6402,0.6415,0.9978
retrain,influence_functions,recall_before,0.6506,0.6506,1.0000
retrain,influence_functions,trust_score,0.6500,0.6470,1.0045
retrain,influence_functions,utility_loss,0.0102,0.0090,1.1375
retrain,fine_tune_forgetting,accuracy_after,0.6411,0.6154,1.0418
retrain,fine_tune_forgetting,accuracy_before,0.6513,0.6513,1.0000
retrain,fine_tune_forgetting,f1_after,0.6350,0.6109,1.0395
retrain,fine_tune_forgetting,f1_before,0.6464,0.6464,1.0000
retrain,fine_tune_forgetting,forget_accuracy,0.6388,0.4878,1.3095
retrain,fine_tune_forgetting,knowledge_retention,0.9855,0.9038,1.0904
retrain,fine_tune_forgetting,memorization_score,-0.6301,-0.6301,1.0000
retrain,fine_tune_forgetting,mia_success_after,0.5742,0.5000,1.1483
retrain,fine_tune_forgetting,mia_success_before,0.5837,0.5837,1.0000
retrain,fine_tune_forgetting,precision_after,0.6504,0.6192,1.0505
retrain,fine_tune_forgetting,precision_before,0.6578,0.6578,1.0000
retrain,fine_tune_forgetting,privacy_leakage,0.2650,0.3261,0.8126
retrain,fine_tune_forgetting,recall_after,0.6402,0.6151,1.0408
retrain,fine_tune_forgetting,recall_before,0.6506,0.6506,1.0000
retrain,fine_tune_forgetting,trust_score,0.6500,0.6491,1.0013
retrain,fine_tune_forgetting,utility_loss,0.0102,0.0359,0.2841
sisa,scrub,accuracy_after,0.5311,0.6320,0.8403
sisa,scrub,accuracy_before,0.5470,0.6513,0.8398
sisa,scrub,f1_after,0.5054,0.6245,0.8093
sisa,scrub,f1_before,0.5247,0.6464,0.8117
sisa,scrub,forget_accuracy,0.5222,0.8185,0.6380
sisa,scrub,knowledge_retention,0.9720,0.9474,1.0260
sisa,scrub,memorization_score,-0.1964,-0.6301,0.3118
sisa,scrub,mia_success_after,0.6115,0.5000,1.2230
sisa,scrub,mia_success_before,0.6226,0.5837,1.0667
sisa,scrub,precision_after,0.5673,0.6567,0.8638
sisa,scrub,precision_before,0.5799,0.6578,0.8815
sisa,scrub,privacy_leakage,0.3431,0.3302,1.0390
sisa,scrub,recall_after,0.5272,0.6323,0.8337
sisa,scrub,recall_before,0.5433,0.6506,0.8350
sisa,scrub,trust_score,0.5610,0.5370,1.0448
sisa,scrub,utility_loss,0.0159,0.0193,0.8256
sisa,influence_functions,accuracy_after,0.5311,0.6424,0.8267
sisa,influence_functions,accuracy_before,0.5470,0.6513,0.8398
sisa,influence_functions,f1_after,0.5054,0.6363,0.7942
sisa,influence_functions,f1_before,0.5247,0.6464,0.8117
sisa,influence_functions,forget_accuracy,0.5222,0.6330,0.8249
sisa,influence_functions,knowledge_retention,0.9720,0.9902,0.9817
sisa,influence_functions,memorization_score,-0.1964,-0.6301,0.3118
sisa,influence_functions,mia_success_after,0.6115,0.5817,1.0511
sisa,influence_functions,mia_success_before,0.6226,0.5837,1.0667
sisa,influence_functions,precision_after,0.5673,0.6514,0.8708
sisa,influence_functions,precision_before,0.5799,0.6578,0.8815
sisa,influence_functions,privacy_leakage,0.3431,0.2582,1.3291
sisa,influence_functions,recall_after,0.5272,0.6415,0.8218
