Run ID,Algorithm,Dataset,Forget Ratio,Seed,Success,Error,accuracy_after,accuracy_before,f1_after,f1_before,forget_accuracy,knowledge_retention,memorization_score,mia_success_after,mia_success_before,precision_after,precision_before,privacy_leakage,recall_after,recall_before,trust_score,utility_loss,time_memory_peak_mb,time_speedup,time_training_time,time_unlearning_time
0,retrain,mnist,0.0500,42,1,,0.8400,0.8540,0.8338,0.8479,0.8261,0.9836,-0.5287,0.5800,0.6000,0.8361,0.8516,0.3730,0.8337,0.8480,0.5944,0.0140,0.0000,0.7001,0.4274,0.6104
1,retrain,mnist,0.0500,43,1,,0.7920,0.8120,0.7811,0.8048,0.7391,0.9754,-0.5600,0.6000,0.5900,0.7967,0.8088,0.3564,0.7851,0.8045,0.6142,0.0200,0.0000,0.5078,0.2516,0.4955
2,retrain,mnist,0.0500,44,1,,0.7420,0.8360,0.7326,0.8348,0.6522,0.8876,-0.4772,0.5850,0.5800,0.7728,0.8375,0.4033,0.7336,0.8347,0.6062,0.0940,0.0000,0.7241,0.2908,0.4016
3,retrain,mnist,0.0500,45,1,,0.8140,0.8480,0.8054,0.8414,0.6957,0.9599,-0.5873,0.6650,0.6600,0.8096,0.8427,0.2790,0.8046,0.8424,0.6436,0.0340,0.0000,0.5648,0.2980,0.5276
4,retrain,mnist,0.0500,46,1,,0.7900,0.8080,0.7919,0.8082,0.9130,0.9777,-0.4935,0.5900,0.5950,0.7946,0.8117,0.3535,0.7954,0.8090,0.5513,0.0180,0.0000,0.5243,0.2580,0.4921
0,retrain,mnist,0.1000,42,1,,0.8200,0.7540,0.8133,0.7426,0.7778,1.0875,-0.1527,0.5700,0.5000,0.8203,0.7698,0.3945,0.8141,0.7393,0.5661,-0.0660,0.0000,0.4577,0.2191,0.4787
1,retrain,mnist,0.1000,43,1,,0.8220,0.7720,0.8173,0.7613,0.7333,1.0648,-0.6299,0.6200,0.5850,0.8214,0.7708,0.3337,0.8162,0.7624,0.6007,-0.0500,0.0000,0.5991,0.2540,0.4240
2,retrain,mnist,0.1000,44,1,,0.8440,0.7820,0.8445,0.7802,0.6889,1.0793,-0.3286,0.5800,0.5750,0.8531,0.7875,0.3859,0.8435,0.7805,0.6138,-0.0620,0.0000,0.5859,0.2551,0.4353
3,retrain,mnist,0.1000,45,1,,0.8140,0.7980,0.8048,0.7868,0.8444,1.0201,-0.6951,0.6800,0.6650,0.8090,0.7955,0.2738,0.8035,0.7868,0.6137,-0.0160,0.0000,0.7296,0.3611,0.4950
4,retrain,mnist,0.1000,46,1,,0.7620,0.7700,0.7588,0.7702,0.7333,0.9896,-0.5488,0.5750,0.5800,0.7661,0.7731,0.3999,0.7628,0.7782,0.5983,0.0080,0.0000,0.7207,0.2768,0.3841
0,retrain,mnist,0.2500,42,1,,0.7920,0.8220,0.7837,0.8154,0.7634,0.9635,-0.3947,0.6100,0.6300,0.7882,0.8236,0.3924,0.7888,0.8160,0.5868,0.0300,0.0000,0.5713,0.2394,0.4190
1,retrain,mnist,0.2500,43,1,,0.7940,0.8040,0.7865,0.7966,0.7849,0.9876,-0.6586,0.6000,0.6250,0.7979,0.8112,0.3660,0.7886,0.7946,0.6078,0.0100,0.0000,0.6424,0.2797,0.4354
2,retrain,mnist,0.2500,44,1,,0.7800,0.8180,0.7794,0.8182,0.7204,0.9535,-0.6664,0.6350,0.6200,0.7922,0.8267,0.3546,0.7813,0.8166,0.6040,0.0380,0.0000,0.5327,0.2155,0.4045
3,retrain,mnist,0.2500,45,1,,0.7400,0.7720,0.7137,0.7566,0.7204,0.9585,-0.6398,0.6600,0.6750,0.7309,0.7651,0.3087,0.7220,0.7559,0.6159,0.0320,0.0000,0.5018,0.2009,0.4005
4,retrain,mnist,0.2500,46,1,,0.7880,0.7980,0.7896,0.7971,0.7849,0.9875,-0.6417,0.6600,0.6250,0.7932,0.7987,0.3156,0.7920,0.7991,0.6070,0.0100,0.0000,0.4752,0.2312,0.4866
0,sisa,mnist,0.0500,42,1,,0.6980,0.6740,0.6649,0.6352,0.6957,1.0356,-0.1227,0.5550,0.5500,0.7049,0.6727,0.4468,0.6774,0.6532,0.5499,-0.0240,0.0000,1.6043,0.5519,0.3440
1,sisa,mnist,0.0500,43,1,,0.6580,0.7020,0.6354,0.6855,0.6957,0.9373,-0.2302,0.5550,0.5700,0.6633,0.7071,0.4009,0.6414,0.6876,0.5410,0.0440,0.0000,1.7126,0.5846,0.3414
2,sisa,mnist,0.0500,44,1,,0.6040,0.6680,0.5894,0.6543,0.5652,0.9042,-0.2319,0.5750,0.5700,0.6259,0.7173,0.4015,0.6036,0.6671,0.5309,0.0640,0.0000,1.8396,0.5810,0.3158
3,sisa,mnist,0.0500,45,1,,0.7100,0.7140,0.6887,0.6902,0.5217,0.9944,-0.2486,0.5900,0.6050,0.7180,0.7207,0.3829,0.6948,0.6994,0.5639,0.0040,0.0000,1.6010,0.6251,0.3905
4,sisa,mnist,0.0500,46,1,,0.6100,0.6200,0.5843,0.5895,0.7826,0.9839,-0.2204,0.5650,0.5800,0.6623,0.6754,0.4035,0.6109,0.6183,0.5541,0.0100,0.0000,1.5364,0.5225,0.3401
0,sisa,mnist,0.1000,42,1,,0.5920,0.6060,0.5565,0.5736,0.5111,0.9769,-0.0616,0.5150,0.5200,0.5969,0.6208,0.4716,0.5797,0.5954,0.5343,0.0140,0.0000,1.5147,0.4704,0.3106
1,sisa,mnist,0.1000,43,1,,0.7220,0.7140,0.7115,0.7024,0.7778,1.0112,-0.3232,0.5850,0.5850,0.7363,0.7260,0.3620,0.7108,0.7036,0.5734,-0.0080,0.0000,1.7683,0.5890,0.3331
2,sisa,mnist,0.1000,44,1,,0.7160,0.7360,0.7083,0.7305,0.5333,0.9728,-0.2145,0.5400,0.5400,0.7380,0.7518,0.4271,0.7117,0.7330,0.5489,0.0200,0.0000,1.8737,0.6520,0.3480
3,sisa,mnist,0.1000,45,1,,0.6340,0.6500,0.5960,0.6106,0.6444,0.9754,-0.2917,0.5700,0.5800,0.6614,0.6831,0.3775,0.6074,0.6214,0.5577,0.0160,0.0000,1.5463,0.5264,0.3404
4,sisa,mnist,0.1000,46,1,,0.6400,0.6720,0.6244,0.6592,0.6889,0.9524,-0.2701,0.5800,0.5400,0.6939,0.7031,0.3943,0.6441,0.6791,0.5512,0.0320,0.0000,1.9813,0.6322,0.3191
0,sisa,mnist,0.2500,42,1,,0.5900,0.6580,0.5657,0.6310,0.5699,0.8967,-0.1282,0.5300,0.5400,0.6082,0.6717,0.4488,0.5872,0.6461,0.5166,0.0680,0.0000,1.8537,0.5995,0.3234
